", a , or an . pcp. it is "		() Specifically (Pros.), to go through with, as a verse, marking and distinguishing the feet of which it is composed; to show, in reading, the metrical structure of; to recite metrically.
", a , or an . pcp. it is "		Specifically (Pros.), to go through with, as a verse, marking and distinguishing the feet of which it is composed; to show, in reading, the metrical structure of; to recite metrically () To go over and examine point by point; to examine with care; to look closely at or into; to scrutinize.
"ey""ries"	"pl. "	of Eyry
#name?		An adjective suffix now usually in a passive sense; able to be; fit to be; expressing capacity or worthiness in a passive sense; as, movable, able to be moved; amendable, able to be amended; blamable, fit to be blamed; salable.
#name?		A suffix composed of -able and the adverbial suffix -ly; as, favorably.
#name?		A suffix to names of persons or places, used to denote a collection of notable sayings, literary gossip, anecdotes, etc. Thus, Scaligerana is a book containing the sayings of Scaliger, Johnsoniana of Johnson, etc.
#name?		A suffix signifying action; also, quality or state; as, assistance, resistance, appearance, elegance. See -ancy.
#name?		A suffix expressing more strongly than -ance the idea of quality or state; as, constancy, buoyancy, infancy.
#name?		A suffix sometimes marking the agent for action; as, merchant, covenant, servant, pleasant, etc. Cf. -ent.
#name?	"pl. "	of Apophysis
#name?	a.	A suffix meaning a ruler, as in monarch (a sole ruler).
#name?	"pl. "	of Archipelago
#name?	"pl. "	of Archipelago
#name?		Alt. of -art
#name?		The termination of many English words; as, coward, reynard, drunkard, mostly from the French, in which language this ending is of German origin, being orig. the same word as English hard. It usually has the sense of one who has to a high or excessive degree the quality expressed by the root; as, braggart, sluggard.
#name?		As an ending of participles or participial adjectives it is equivalent to -ed; as, situate or situated; animate or animated.
#name?		As the ending of a verb, it means to make, to cause, to act, etc.; as, to propitiate (to make propitious); to animate (to give life to).
#name?		As a noun suffix, it marks the agent; as, curate, delegate. It also sometimes marks the office or dignity; as, tribunate.
#name?		In chemistry it is used to denote the salts formed from those acids whose names end -ic (excepting binary or halogen acids); as, sulphate from sulphuric acid, nitrate from nitric acid, etc. It is also used in the case of certain basic salts.
#name?		A suffix forming nouns of action, and often equivalent to the verbal substantive in -ing. It sometimes has the further meanings of state, and that which results from the action. Many of these nouns have verbs in -ate; as, alliterate -ation, narrate -ation; many are derived through the French; as, alteration, visitation; and many are formed on verbs ending in the Greek formative -ize (Fr. -ise); as, civilization, demoralization.
#name?	"pl. "	of Baptistry
#name?	"pl. "	of Bedesman
#name?	"pl. "	of Bedeswoman
#name?	"pl. "	of Bel-esprit
#name?	a.	Containing two atoms or equivalents of carbon in the molecule.
#name?		A suffix or terminal formative, used principally in biological terms, and signifying growth, formation; as, bioblast, epiblast, mesoblast, etc.
#name?	"pl. "	of Boothy
#name?	a.	Alt. of ical
#name?	"pl. "	of Bursary
#name?	"pl. "	of Calcaneum
#name?	"pl. "	of Calcaneum
#name?	"pl. "	of Centesimo
#name?	"pl. "	of Crayfish
#name?	"pl. "	of Crayfish
#name?		of Curvet
#name?		of Curvet
#name?	n.	A suffix or terminal formative, much used in anatomical terms, and signifying skin, integument, covering; as, blastoderm, ectoderm, etc.
#name?	"pl. "	of Discrepancy
#name?	"pl. "	of Discrepancy
#name?	"pl. "	of Divertimento
#name?		A suffix denoting
#name?		Jurisdiction or property and jurisdiction, dominion, as in kingdom earldom.
#name?		State, condition, or quality of being, as in wisdom, freedom.
#name?	a.	Having two barrels; -- applied to a gun.
#name?		The termination of the past participle of regular, or weak, verbs; also, of analogous participial adjectives from nouns; as, pigmented; talented.
#name?		A suffix used, chiefly in law terms, in a passive signification, to indicate the direct or indirect object of an action, or the one to whom an act is done or on whom a right is conferred; as in assignee, donee, alienee, grantee, etc. It is correlative to -or, the agent or doer.
#name?		A suffix from AS. -an, formerly used to form the plural of many nouns, as in ashen, eyen, oxen, all obs. except oxen. In some cases, such as children and brethren, it has been added to older plural forms.
#name?		A suffix corresponding to AS. -en and -on, formerly used to form the plural of verbs, as in housen, escapen.
#name?		A suffix signifying to make, to cause, used to form verbs from nouns and adjectives; as in strengthen, quicken, frighten. This must not be confused with -en corresponding in Old English to the AS. infinitive ending -an.
#name?		An adjectival suffix, meaning made of; as in golden, leaden, wooden.
#name?		The termination of the past participle of many strong verbs; as, in broken, gotten, trodden.
#name?		A noun suffix signifying action, state, or quality; also, that which relates to the action or state; as in emergence, diffidence, diligence, influence, difference, excellence. See -ance.
#name?		A noun suffix having much the same meaning as -ence, but more commonly signifying the quality or state; as, emergency, efficiency. See -ancy.
#name?		An adjective suffix signifying action or being; as, corrodent, excellent, emergent, continent, quiescent. See -ant.
#name?		.
#name?		The termination of many English words, denoting the agent; -- applied either to men or things; as in hater, farmer, heater, grater. At the end of names of places, -er signifies a man of the place; as, Londoner, i. e., London man.
#name?		A suffix used to form the comparative degree of adjectives and adverbs; as, warmer, sooner, lat(e)er, earl(y)ier.
#name?		A suffix signifying beginning, beginning to be; as, adolescent, effervescent, etc.
#name?		A suffix of certain words from the French, Italian, and Spanish. It denotes manner or style; like; as, arabesque, after the manner of the Arabs.
#name?		A suffix used to form feminine nouns; as, actress, deaconess, songstress.
